ch05_07,ch06_07,ch07_13,ch12_15,bt07_11,bt07_13,bt13_15,bt07_08r,bt07_09r,bt07_10r,bt07_11r,bt07_12r,bt07_13r,bt07_14r,bt07_15r,bt07_16r,bt11_15r,bt13_14r,bt13_15r,num
0.500709507,0.320291912,0.044692444,0.712149495,15.20675,13.34417,4.65824,1.219892134,1.190327553,1.157948658,1.057382566,1.129078544,1.050002692,1.051702794,1.068656252,1.111345506,1.01066188,1.001619141,1.017765249,0
0.143401564,0.061878757,0.0566465,0.673288344,5.77784,2.12906,3.7103,1.261049961,1.215171091,1.162316999,1.019874164,1.118525934,1.0072326,1.009507104,1.020090027,1.085624142,1.000211656,1.002258171,1.012765102,0
0.1581011,0.065348455,0.053959244,0.672823565,4.76351,1.8182,3.2856,1.252206272,1.206153782,1.153998569,1.016422078,1.114951458,1.006205191,1.007467462,1.017615885,1.081460179,1.001174519,1.001254487,1.011340325,0
0.235109718,0.107640594,0.059799554,0.664001324,7.77796,3.98193,4.84709,1.273306016,1.229966848,1.181587873,1.026851816,1.130578362,1.013568977,1.015625851,1.030591389,1.097002609,1.003641784,1.002029338,1.016794527,0
0.236923452,0.104734402,0.056878595,0.649890935,7.14032,3.69418,3.90373,1.25151729,1.203249168,1.16144781,1.024746635,1.129612257,1.012652031,1.014070005,1.026374359,1.091646525,1.001588416,1.001400258,1.013550881,0
0.227505166,0.108534575,0.05647418,0.65030837,7.87934,4.22835,4.18546,1.22730131,1.184154047,1.152279698,1.027436463,1.131180559,1.014538607,1.01690349,1.029352154,1.092264253,1.001864535,1.002330993,1.014601265,0
0.267038472,0.128792892,0.051169439,0.644191106,6.20044,2.87334,3.27479,1.215256455,1.173448271,1.141143486,1.021682279,1.123697282,1.009932208,1.011228126,1.021495425,1.082982843,0.999817111,1.001283173,1.011449498,0
0.24358365,0.105750951,0.051092701,0.642883301,6.04447,2.98946,3.36065,1.220474471,1.172928918,1.135888337,1.021134898,1.124531967,1.010342372,1.011571902,1.022227344,1.082791985,1.001069834,1.001216945,1.011763312,0
0.233823654,0.105220645,0.055897293,0.649833791,8.37405,4.28304,3.94109,1.224103824,1.180602021,1.149047648,1.029253208,1.13035784,1.014751203,1.017485095,1.028714452,1.092999228,0.999476556,1.002694151,1.013760269,0
0.295609153,0.147186147,0.049694702,0.643530542,6.00701,2.80669,3.10413,1.218094424,1.178688069,1.141570905,1.021069131,1.12214846,1.009734978,1.010859227,1.02072476,1.080235569,0.999662735,1.00111341,1.010883828,0
0.237670187,0.10646764,0.055095175,0.666732412,7.19953,3.84473,4.6135,1.264884688,1.220819196,1.17113738,1.025071604,1.125702593,1.013234255,1.015350419,1.029584572,1.09255656,1.004402588,1.002088524,1.016136759,0
0.247502475,0.113626136,0.054259752,0.666174439,8.19618,4.58412,3.84927,1.260361783,1.215249019,1.164965934,1.028747478,1.12476603,1.015877302,1.018863723,1.029604105,1.09246279,1.000832689,1.002939745,1.013512264,0
0.316203042,0.143919657,0.058917753,0.681631679,10.75019,7.01253,4.30513,1.262469613,1.218318031,1.170938026,1.037831633,1.13009211,1.024357823,1.028009319,1.039908348,1.100821679,1.002001014,1.003564668,1.015180755,0
0.275233827,0.118131333,0.051931887,0.679738032,6.55137,4.85397,4.32063,1.248686471,1.204700839,1.155157356,1.022993688,1.121183021,1.016935343,1.017457458,1.032499799,1.087991393,1.009292443,1.000513421,1.015305257,0
0.221710478,0.101668341,0.051878381,0.675213039,7.42682,5.00148,4.63033,1.254831811,1.210111931,1.158531326,1.026158857,1.123678115,1.017467074,1.020816181,1.034190848,1.093487841,1.007827239,1.003291612,1.016436673,0
0.403582605,0.271932664,0.063070507,0.686167158,13.76584,11.92127,3.64263,1.257911685,1.213385773,1.162065042,1.04907383,1.140706732,1.042220495,1.045455527,1.055841672,1.108531261,1.006451254,1.003103981,1.013069382,0
0.21613987,0.081319951,0.053749366,0.667687218,4.81484,2.1497,2.71736,1.248126997,1.200973121,1.14740487,1.016622251,1.115444793,1.007353739,1.008335661,1.016805559,1.079884336,1.000180311,1.000974754,1.009382821,0
0.283741817,0.113943564,0.051773957,0.674717603,5.13967,1.48711,2.78341,1.242175396,1.196342904,1.145364086,1.017825615,1.110716125,1.005093136,1.006120024,1.01476668,1.077024486,0.996994638,1.001021684,1.009624525,0
0.250586234,0.090808773,0.051614909,0.670810091,5.49003,2.37332,3.54301,1.250701604,1.205034305,1.154566876,1.019107982,1.115782515,1.008171668,1.009509499,1.020622312,1.080761632,1.001485937,1.001326988,1.012349727,0
0.23300597,0.113614481,0.059398398,0.664942629,7.59098,4.30287,4.88767,1.272256675,1.228036757,1.1803343,1.026231642,1.130864952,1.014702088,1.015643535,1.031935659,1.097298716,1.005558216,1.000927806,1.016983873,0
0.247063316,0.105563417,0.053186495,0.672115539,5.87391,3.319,4.39915,1.255782836,1.211865107,1.160663866,1.020432908,1.12103018,1.011443725,1.012840822,1.027021611,1.085619063,1.006456772,1.00138129,1.015401634,0
