ch05_07,ch06_07,ch07_13,ch12_15,bt07_11,bt07_13,bt13_15,bt07_08r,bt07_09r,bt07_10r,bt07_11r,bt07_12r,bt07_13r,bt07_14r,bt07_15r,bt07_16r,bt11_15r,bt13_14r,bt13_15r,num
0.312371201,0.122562312,0.053323972,0.643856659,4.75087,2.17577,1.70156,1.182635902,1.133612064,1.106019602,1.016415818,1.1195166,1.007451697,1.006583641,1.013357134,1.07595433,0.996990715,0.999138365,1.005861757,0
0.304059481,0.122771187,0.051004535,0.647331258,3.87428,1.58375,1.47871,1.173827126,1.125311754,1.098643451,1.013407029,1.114841244,1.005437501,1.004366631,1.01056802,1.071707415,0.99719855,0.998934922,1.005102772,0
0.266757415,0.102092344,0.052435022,0.636362087,4.03759,1.60284,1.84746,1.194486632,1.143493909,1.113129966,1.013930418,1.12034057,1.005484021,1.004396855,1.011880089,1.075749728,0.99797784,0.998918764,1.006361183,0
0.261204588,0.097951721,0.052706453,0.641568786,3.9861,1.59276,2.40843,1.19082658,1.142154024,1.112931701,1.013740781,1.120473969,1.005445594,1.005272953,1.013793516,1.077315,1.000052021,0.999828295,1.00830271,0
0.296768764,0.125130113,0.052618024,0.641891579,4.80334,2.14345,1.83325,1.18864165,1.137805429,1.109635965,1.016627961,1.119884793,1.007352388,1.007010835,1.013727059,1.076387143,0.997146545,0.99966094,1.006328144,0
0.309352843,0.128708847,0.051630248,0.634348579,4.4545,1.71857,1.77735,1.194699326,1.142377064,1.111892484,1.015425848,1.120396253,1.005895518,1.004892985,1.01206625,1.075562364,0.996691439,0.999003342,1.006134565,0
0.286301733,0.11606827,0.052618048,0.641381789,4.48573,2.07759,1.9983,1.191571536,1.139693644,1.110874151,1.015509239,1.120357908,1.007123874,1.007150327,1.014072292,1.077645593,0.998584999,1.000026266,1.006899269,0
0.298983456,0.132881536,0.052641028,0.645051308,4.7008,2.1701,1.9822,1.180688702,1.134406904,1.10735743,1.016267219,1.11940879,1.007444482,1.007106079,1.014341901,1.077496338,0.9981055,0.999664097,1.00684645,0
0.287407145,0.124911567,0.052802445,0.640366724,4.66466,2.29077,1.9608,1.189354603,1.139693644,1.111010296,1.016137866,1.121155233,1.007860595,1.007150327,1.014687748,1.077923664,0.998572913,0.999295271,1.006773906,0
0.285415387,0.126219554,0.051921844,0.639660968,4.64896,2.32843,1.82276,1.185054965,1.133706891,1.106228242,1.016119383,1.120404312,1.008008947,1.006992978,1.014368661,1.075507948,0.998277051,0.998992103,1.006309184,0
0.287234543,0.128313792,0.050557424,0.635225197,4.52046,2.01036,1.78029,1.187889747,1.135417949,1.105891458,1.015710555,1.119919865,1.006926447,1.006638686,1.013140819,1.075065913,0.997470011,0.999714219,1.006171625,0
0.293412881,0.130813243,0.049409891,0.637174839,4.27714,2.03371,1.80425,1.181006802,1.130991073,1.10218959,1.014897413,1.118537033,1.007028555,1.006353652,1.013347318,1.072140602,0.998472659,0.999329808,1.006274661,0
0.302774427,0.166465621,0.050511944,0.645231946,5.51022,2.86029,1.34517,1.177926651,1.129100571,1.101473307,1.019254307,1.117438131,1.009902985,1.0105651,1.014628403,1.073553425,0.995461482,1.000655622,1.004679081,0
0.319688109,0.144249513,0.057156545,0.636220636,5.11477,2.39035,2.30319,1.208207714,1.156218483,1.12445104,1.017542307,1.1267548,1.008122372,1.007814814,1.016074377,1.082701775,0.998557377,0.99969492,1.007887936,0
0.300996329,0.119559518,0.05399831,0.645201917,4.25175,1.67276,2.06484,1.184268251,1.134680313,1.107683624,1.014626098,1.119544619,1.005703723,1.005060916,1.012834712,1.076371627,0.998234437,0.999360839,1.007090547,0
0.328158388,0.116654311,0.052729367,0.646078157,3.97119,1.6847,1.63621,1.177601941,1.129243145,1.102469849,1.013690575,1.117180658,1.005762536,1.005041707,1.011423143,1.073053445,0.997763191,0.999283301,1.005628174,0
0.26903007,0.116748898,0.056093319,0.650957571,5.44602,2.7813,2.24522,1.185319485,1.137632272,1.111086313,1.018761964,1.122145885,1.009494633,1.009359493,1.017291764,1.080543963,0.998556875,0.999866131,1.007723796,0
0.297388989,0.123464743,0.053453373,0.646673124,4.22959,1.93835,2.09068,1.180039572,1.133217927,1.106918378,1.01457633,1.119327231,1.006627753,1.006175926,1.013875555,1.076828674,0.999309292,0.999551148,1.007200082,0
0.33772259,0.138727798,0.051420492,0.648623124,4.05763,1.73929,1.5029,1.170734497,1.123251437,1.097269514,1.014040271,1.115166351,1.005970423,1.00555918,1.011187108,1.072472125,0.997186341,0.999591198,1.005185725,0
0.323662622,0.150615279,0.054191104,0.637686066,4.98141,2.58663,1.82333,1.195384713,1.144207097,1.114041831,1.017204845,1.123255477,1.008860444,1.008186627,1.015201163,1.078366034,0.998030208,0.999332101,1.006285031,0
0.310780188,0.129491745,0.053527241,0.642349479,4.99811,2.21597,2.0143,1.191086731,1.140491038,1.112053912,1.017277724,1.121077307,1.007587309,1.007182591,1.014584703,1.077770805,0.997352718,0.99959833,1.006944703,0
0.295508274,0.111512556,0.05227379,0.644505823,4.12868,2.00676,1.86511,1.180546791,1.132772655,1.105549779,1.014267203,1.118627862,1.006884148,1.006641107,1.013367899,1.075235936,0.999113346,0.999758621,1.006439421,0
0.2966234,0.115973059,0.052159711,0.645025612,4.35834,1.87357,1.9983,1.183679918,1.135124838,1.107140875,1.015072786,1.118469674,1.006424307,1.005880629,1.013367899,1.07551205,0.998320429,0.999459793,1.006899269,0
0.293842192,0.11472723,0.050188132,0.643287728,3.79417,1.3591,1.82386,1.181252701,1.133486738,1.105023756,1.013147335,1.115909645,1.004670068,1.003911779,1.011006096,1.071376709,0.997886547,0.999245236,1.006306576,0
0.23627812,0.134223721,0.054160378,0.648520276,6.84348,3.95804,1.44843,1.171592788,1.123270421,1.098547921,1.023862308,1.121805263,1.013663689,1.013145112,1.018757656,1.077903114,0.995014318,0.999488414,1.005025303,0
0.312036006,0.126438382,0.050852977,0.633620748,4.18713,1.8129,2.02366,1.190413749,1.137444414,1.107045069,1.014518075,1.120900529,1.006234561,1.005406053,1.01328639,1.074367972,0.998785941,0.999176626,1.007008137,0
0.301479352,0.127369184,0.050683335,0.635219295,4.43139,1.88489,2.01766,1.192613233,1.139269162,1.108729491,1.015387095,1.120412235,1.006487531,1.005013773,1.013525968,1.074578355,0.998167077,0.998535742,1.00699307,0
0.289465762,0.115786305,0.051195506,0.641287383,4.64357,2.1509,1.87533,1.182282157,1.133103551,1.105717406,1.016123846,1.119121997,1.007404472,1.007088811,1.013950356,1.075636875,0.997860998,0.999686659,1.006497771,0
0.337685243,0.127976254,0.053088321,0.646757728,3.86276,1.58221,1.68152,1.177891428,1.130149745,1.103412799,1.013297142,1.117151585,1.005404165,1.004821369,1.011211925,1.074219927,0.997942146,0.999420337,1.005776543,0
0.29348545,0.120907738,0.055129415,0.647074777,4.67482,2.38816,2.07385,1.184142014,1.136673842,1.110294089,1.016085626,1.121332369,1.008153288,1.007459538,1.015342132,1.078462464,0.999268276,0.999311861,1.007130706,0
0.280046217,0.119460275,0.057107421,0.637750778,4.98008,2.51424,2.24202,1.205441108,1.153980737,1.122922226,1.017078906,1.126337303,1.008550142,1.008179932,1.016298817,1.083400882,0.999233011,0.999632929,1.007682985,0
0.298425968,0.153449315,0.059750051,0.634987599,6.51538,3.81791,2.07896,1.215153257,1.161287406,1.12928203,1.022389925,1.13132325,1.012999639,1.013702758,1.020221452,1.086830788,0.997879015,1.000694096,1.007129136,0
0.307055127,0.126494471,0.055303314,0.640376599,4.63032,2.09076,2.38719,1.191577915,1.139503241,1.111705769,1.015913332,1.123745785,1.007123284,1.006822655,1.015381617,1.079853383,0.999476614,0.999701497,1.008199923,0
0.345390744,0.133521661,0.052618011,0.64696661,4.32238,2.0118,1.52076,1.174500008,1.12624615,1.101665253,1.01493393,1.117198777,1.006895769,1.006624122,1.012171867,1.074205896,0.997278579,0.999730213,1.005239965,0
0.296037343,0.131347627,0.056217915,0.641685811,5.30791,2.737,2.17078,1.197911882,1.147893618,1.118729808,1.018270339,1.124766347,1.00933838,1.008808904,1.016869818,1.082061278,0.998624608,0.999475422,1.007461757,0
